winner,impressions_won,total_spend,avg_clearing_cpm,avg_winning_bid,total_clicks,total_conversions,win_rate,ctr,cvr
Netflix,47074,244337.3145,5.190493998810384,8.008995341377405,56,2,0.47074,0.0011896163487275355,0.03571428571428571
AmericanExpress,23352,159698.312,6.83874237752655,8.323024237752655,24,2,0.23352,0.0010277492291880781,0.08333333333333333
Nike,4442,26455.9428,5.955862854570014,6.686531202161189,2,1,0.04442,0.00045024763619990995,0.5
Toyota,3367,21468.6876,6.376206593406594,8.193677724977725,1,0,0.03367,0.000297000297000297,0.0
